name,HI_TOTAAL_S.0,DR_AV_MATE_VAN_VERHARDING_V.0,DR_BS_GROEN_PUBLIEK_V.0,intervention_priority,priority_class
RK_Kortenaerkwartier,2.96,71.0,11.0,0.5098393574297189,Very High
RK_Schinkelbuurt Zuid,3.38,67.0,24.0,0.5084337349397591,Very High
RK_Marathonbuurt Oost,3.08,75.0,28.0,0.5084337349397591,Very High
RK_Haveneiland Zuidwest/Rieteiland West,3.46,69.0,33.0,0.5064257028112451,Very High
RK_Loenermark,3.38,70.0,33.0,0.5060240963855422,Very High
RK_Leidsebuurt Noordoost,2.67,82.0,9.0,0.5058232931726908,Very High
RK_K-buurt Zuidoost,3.0,75.0,25.0,0.5028112449799197,Very High
RK_Buurt 5 Zuid,3.54,68.0,37.0,0.492570281124498,High
RK_Buurt 9,3.5,67.0,33.0,0.49156626506024104,High
RK_Vivaldi,2.75,77.0,12.0,0.48674698795180726,High
RK_Czaar Peterbuurt,2.75,82.0,24.0,0.4863453815261044,High
RK_Lucas/Andreasziekenhuis e0o0,2.96,77.0,31.0,0.486144578313253,High
RK_Leeuwenveld,2.75,79.0,19.0,0.48554216867469885,High
RK_Reigersbos Midden,3.29,71.0,38.0,0.4853413654618474,High
RK_Driehoekbuurt,2.63,82.0,11.0,0.484136546184739,High
RK_Tuindorp Nieuwendam West,3.29,70.0,35.0,0.48232931726907635,High
RK_Staalmanbuurt,3.13,72.0,33.0,0.4783132530120482,High
RK_Overhoeks,3.46,55.0,8.0,0.47751004016064263,High
RK_Zuidoostkwadrant Indische buurt,2.96,76.0,31.0,0.47570281124497993,High
RK_Gaasperdam Zuid,3.04,73.0,31.0,0.4720883534136546,High
RK_Julianapark,2.83,77.0,24.0,0.47148594377510034,High
RK_Transvaalbuurt Oost,2.92,75.0,26.0,0.4706827309236947,High
RK_Osdorpplein e0o0,3.5,61.0,23.0,0.470281124497992,High
RK_Hondecoeterbuurt,2.71,81.0,21.0,0.46927710843373494,High
RK_Holendrecht West,3.25,71.0,40.0,0.4684738955823293,High
RK_Spaarndammerbuurt Noordwest,3.0,70.0,22.0,0.46726907630522097,High
RK_Cornelis Troostbuurt,2.79,75.0,19.0,0.4622489959839357,High
RK_Rietlanden,3.17,65.0,21.0,0.4612449799196787,High
RK_Oostelijke Handelskade,3.29,57.0,9.0,0.4612449799196787,High
RK_Oosterparkbuurt Zuidoost,2.88,74.0,24.0,0.45702811244979913,High
RK_Tuindorp Oostzaan Oost,3.54,67.0,45.0,0.45622489959839363,High
RK_Van der Helstpleinbuurt,2.71,81.0,24.0,0.4546184738955823,High
RK_Pieter van der Doesbuurt,2.79,76.0,23.0,0.45341365461847394,High
RK_Marnixbuurt Midden,2.84,68.0,3.0,0.4532128514056225,High
RK_Noordoostkwadrant Indische buurt,3.04,71.0,31.0,0.45281124497991976,High
RK_Burgemeester Tellegenbuurt West,2.83,73.0,21.0,0.4471887550200804,High
RK_Rijnbuurt West,2.96,71.0,26.0,0.4465863453815261,High
RK_Zuidwestkwadrant Osdorp Noord,3.33,66.0,36.0,0.44518072289156624,High
RK_Bedrijvengebied Veelaan,2.67,78.0,17.0,0.44417670682730925,High
RK_Frans Halsbuurt,2.92,71.0,24.0,0.44337349397590364,High
RK_Gibraltarbuurt,3.13,69.0,33.0,0.4429718875502009,High
RK_De Aker West,3.46,63.0,33.0,0.4413654618473897,High
RK_Bellamybuurt Noord,3.0,68.0,23.0,0.44056224899598395,High
RK_Buyskade e0o0,3.08,68.0,27.0,0.44016064257028115,High
RK_Valkenburg,2.58,79.0,11.0,0.43835341365461844,High
RK_Meer en Oever,3.46,64.0,37.0,0.4375502008032129,High
RK_Legmeerpleinbuurt,2.67,77.0,15.0,0.4373493975903615,High
RK_VU-kwartier,2.67,81.0,24.0,0.4373493975903614,High
RK_Oostenburg,2.88,70.0,20.0,0.43534136546184743,High
RK_WG-terrein,3.08,70.0,35.0,0.43413654618473896,High
RK_Zeeburgereiland Noordoost,2.75,76.0,23.0,0.4329317269076306,High
RK_Burgwallen Oost,2.54,81.0,14.0,0.43212851405622493,High
RK_Louis Chrispijnbuurt,3.46,64.0,39.0,0.4315261044176707,High
RK_Zuiderhof,2.71,76.0,19.0,0.43092369477911646,High
RK_De Eenhoorn,2.71,79.0,26.0,0.4293172690763052,High
RK_Terrasdorp,3.21,65.0,31.0,0.42751004016064265,High
RK_G-buurt West,3.0,70.0,31.0,0.42751004016064265,High
RK_Duivelseiland,2.46,82.0,13.0,0.4265060240963856,High
RK_Middeneiland Zuidwest,2.08,99.0,0.0,0.42469879518072295,High
RK_Osdorp Midden Noord,3.54,64.0,45.0,0.4244979919678714,High
RK_Scheldebuurt West,2.88,73.0,30.0,0.4240963855421688,High
RK_Buurt 8,3.5,63.0,40.0,0.4214859437751004,High
RK_Zuidwestkwadrant Osdorp Zuid,3.29,65.0,37.0,0.4210843373493976,High
RK_Teleport,2.71,78.0,26.0,0.41887550200803214,High
RK_Elzenhagen Noord,3.29,62.0,28.0,0.41887550200803214,High
RK_Kop Zeedijk,2.67,72.0,5.0,0.41787148594377516,High
RK_Buurt 3,3.25,66.0,39.0,0.41666666666666674,High
RK_Frederik Hendrikbuurt Zuidwest,3.29,61.0,27.0,0.4152610441767069,High
RK_Swammerdambuurt,2.75,70.0,12.0,0.4148594377510041,High
RK_RAI,2.29,89.0,15.0,0.4120481927710844,High
RK_Westerdokseiland,3.29,44.0,4.0,0.4110441767068273,High
RK_Orteliusbuurt Noord,2.71,78.0,28.0,0.4092369477911647,High
RK_Zeeburgereiland Noordwest,2.75,72.0,20.0,0.4092369477911647,High
RK_De Wittenbuurt Noord,2.92,66.0,20.0,0.406425702811245,High
RK_Utrechtsebuurt Zuid,2.88,70.0,26.0,0.40602409638554215,High
RK_Gerard Doubuurt,2.63,78.0,22.0,0.4058232931726908,High
RK_Middeneiland Zuidoost,1.71,100.0,0.0,0.40502008032128517,High
RK_Strandeiland,1.71,100.0,0.0,0.40502008032128517,High
